,state,sum
164,"[2, 4, 4, 16, 32, 64]",122
165,"[2, 8, 16, 32, 64]",122
166,"[2, 2, 8, 16, 32, 64]",124
167,"[4, 4, 4, 16, 32, 64]",124
168,"[4, 8, 16, 32, 64]",124
169,"[2, 4, 8, 16, 32, 64]",126
170,"[2, 2, 4, 8, 16, 32, 64]",128
171,"[4, 4, 8, 16, 32, 64]",128
172,"[2, 4, 4, 8, 16, 32, 64]",130
173,"[2, 8, 8, 16, 32, 64]",130
174,"[2, 2, 8, 8, 16, 32, 64]",132
175,"[4, 4, 4, 8, 16, 32, 64]",132
176,"[2, 2, 16, 16, 32, 64]",132
177,"[4, 8, 8, 16, 32, 64]",132
178,"[2, 4, 16, 16, 32, 64]",134
179,"[2, 4, 8, 8, 16, 32, 64]",134
180,"[2, 4, 32, 32, 64]",134
181,"[2, 2, 4, 32, 32, 64]",136
182,"[4, 4, 16, 16, 32, 64]",136
183,"[2, 2, 4, 16, 16, 32, 64]",136
184,"[4, 4, 8, 8, 16, 32, 64]",136
185,"[2, 2, 4, 64, 64]",136
186,"[4, 4, 32, 32, 64]",136
187,"[2, 4, 4, 64, 64]",138
188,"[2, 4, 4, 32, 32, 64]",138
189,"[2, 8, 32, 32, 64]",138
190,"[2, 4, 4, 16, 16, 32, 64]",138
191,"[2, 8, 16, 16, 32, 64]",138
192,"[2, 4, 4, 128]",138
193,"[2, 8, 64, 64]",138
194,"[2, 2, 8, 128]",140
195,"[4, 4, 4, 64, 64]",140
196,"[2, 2, 8, 64, 64]",140
197,"[4, 8, 32, 32, 64]",140
198,"[4, 4, 4, 32, 32, 64]",140
199,"[2, 2, 8, 32, 32, 64]",140
200,"[4, 8, 16, 16, 32, 64]",140
201,"[4, 4, 4, 128]",140
202,"[4, 8, 64, 64]",140
203,"[2, 4, 8, 128]",142
204,"[2, 4, 8, 64, 64]",142
205,"[2, 4, 8, 32, 32, 64]",142
206,"[2, 2, 4, 8, 128]",144
207,"[4, 4, 8, 128]",144
208,"[4, 4, 8, 64, 64]",144
209,"[2, 2, 4, 8, 64, 64]",144
210,"[4, 4, 8, 32, 32, 64]",144
211,"[2, 4, 4, 8, 128]",146
212,"[2, 8, 8, 128]",146
213,"[2, 4, 4, 8, 64, 64]",146
214,"[2, 8, 8, 64, 64]",146
215,"[2, 2, 8, 8, 128]",148
216,"[4, 4, 4, 8, 128]",148
217,"[2, 2, 16, 128]",148
218,"[4, 8, 8, 128]",148
219,"[4, 8, 8, 64, 64]",148
220,"[2, 4, 16, 128]",150
221,"[2, 4, 8, 8, 128]",150
222,"[2, 2, 4, 16, 128]",152
223,"[4, 4, 16, 128]",152
224,"[4, 4, 8, 8, 128]",152
225,"[2, 4, 4, 16, 128]",154
226,"[2, 8, 16, 128]",154
227,"[2, 2, 8, 16, 128]",156
228,"[4, 4, 4, 16, 128]",156
229,"[4, 8, 16, 128]",156
230,"[2, 4, 8, 16, 128]",158
231,"[2, 2, 4, 8, 16, 128]",160
232,"[4, 4, 8, 16, 128]",160
233,"[2, 4, 4, 8, 16, 128]",162
234,"[2, 8, 8, 16, 128]",162
235,"[2, 2, 8, 8, 16, 128]",164
236,"[4, 4, 4, 8, 16, 128]",164
237,"[2, 2, 16, 16, 128]",164
238,"[4, 8, 8, 16, 128]",164
239,"[2, 4, 16, 16, 128]",166
240,"[2, 4, 8, 8, 16, 128]",166
241,"[2, 4, 32, 128]",166
242,"[2, 2, 4, 32, 128]",168
243,"[4, 4, 16, 16, 128]",168
244,"[2, 2, 4, 16, 16, 128]",168
245,"[4, 4, 8, 8, 16, 128]",168
246,"[4, 4, 32, 128]",168
247,"[2, 4, 4, 32, 128]",170
248,"[2, 8, 32, 128]",170
249,"[2, 4, 4, 16, 16, 128]",170
250,"[2, 8, 16, 16, 128]",170
251,"[2, 2, 8, 32, 128]",172
252,"[4, 4, 4, 32, 128]",172
253,"[4, 8, 32, 128]",172
254,"[4, 8, 16, 16, 128]",172
255,"[2, 4, 8, 32, 128]",174
256,"[2, 2, 4, 8, 32, 128]",176
257,"[4, 4, 8, 32, 128]",176
258,"[2, 4, 4, 8, 32, 128]",178
259,"[2, 8, 8, 32, 128]",178
260,"[2, 2, 8, 8, 32, 128]",180
261,"[4, 4, 4, 8, 32, 128]",180
262,"[2, 2, 16, 32, 128]",180
263,"[4, 8, 8, 32, 128]",180
264,"[2, 4, 16, 32, 128]",182
265,"[2, 4, 8, 8, 32, 128]",182
266,"[2, 2, 4, 16, 32, 128]",184
267,"[4, 4, 16, 32, 128]",184
268,"[4, 4, 8, 8, 32, 128]",184
269,"[2, 4, 4, 16, 32, 128]",186
270,"[2, 8, 16, 32, 128]",186
271,"[2, 2, 8, 16, 32, 128]",188
272,"[4, 4, 4, 16, 32, 128]",188
273,"[4, 8, 16, 32, 128]",188
274,"[2, 4, 8, 16, 32, 128]",190
275,"[2, 2, 4, 8, 16, 32, 128]",192
276,"[4, 4, 8, 16, 32, 128]",192
277,"[2, 4, 4, 8, 16, 32, 128]",194
278,"[2, 8, 8, 16, 32, 128]",194
279,"[2, 2, 8, 8, 16, 32, 128]",196
280,"[4, 4, 4, 8, 16, 32, 128]",196
281,"[2, 2, 16, 16, 32, 128]",196
282,"[4, 8, 8, 16, 32, 128]",196
283,"[2, 4, 16, 16, 32, 128]",198
284,"[2, 4, 8, 8, 16, 32, 128]",198
285,"[2, 4, 32, 32, 128]",198
286,"[2, 2, 4, 32, 32, 128]",200
287,"[4, 4, 16, 16, 32, 128]",200
288,"[2, 2, 4, 16, 16, 32, 128]",200
289,"[4, 4, 8, 8, 16, 32, 128]",200
290,"[2, 2, 4, 64, 128]",200
291,"[4, 4, 32, 32, 128]",200
292,"[2, 4, 4, 64, 128]",202
293,"[2, 4, 4, 32, 32, 128]",202
294,"[2, 8, 32, 32, 128]",202
295,"[2, 4, 4, 16, 16, 32, 128]",202
296,"[2, 8, 16, 16, 32, 128]",202
297,"[2, 8, 64, 128]",202
298,"[2, 2, 8, 64, 128]",204
299,"[4, 4, 4, 64, 128]",204
300,"[4, 8, 32, 32, 128]",204
301,"[4, 4, 4, 32, 32, 128]",204
302,"[2, 2, 8, 32, 32, 128]",204
